Category,Company Name,Industry / Category,Website URL,Country,Estimated Company Size,What the company does,Target Role for Outreach,Why this company might need more leads / sales / automation,Suggested outreach angle,Mock contact email
"AI / Tech Startup","Perplexity AI","AI answer engine","https://www.perplexity.ai","United States","Medium (50–200)","Perplexity AI offers an AI answer engine for consumers and professionals.","Head of Growth","Must convert heavy users into teams and enterprise plans; outbound can educate knowledge workers.","Outbound to research-heavy teams (consulting, finance, media) with usage-based ROI stories.","growth@perplexity.ai"
"AI / Tech Startup","DeepL","AI translation","https://www.deepl.com","Germany","Large (200–1000)","DeepL provides AI-powered translation and writing tools for businesses and individuals.","Head of Enterprise Sales","Needs to expand from self‑serve users to enterprise contracts across regions.","Outbound to global enterprises with localized case studies and compliance assurances.","enterprise@deepl.com"
"AI / Tech Startup","Scale AI","Data & labeling platform","https://scale.com","United States","Large (200–1000)","Scale AI offers data labeling and AI data infrastructure for enterprises.","VP Sales","Targets large AI and autonomy programs with long cycles; outbound is key to mapping programs and buyers.","Multi‑threaded outbound into AI, data, and engineering leaders at target enterprises.","sales@scale.com"
"AI / Tech Startup","LangChain","AI app dev tooling","https://www.langchain.com","United States","Small (10–50)","LangChain builds tools and frameworks for developing LLM-powered applications.","Head of Developer Relations","Needs to deepen adoption among dev teams and land more enterprise platform deals.","Developer-focused outbound to CTOs and platform teams building internal AI tools.","devrel@langchain.com"
"AI / Tech Startup","Hugging Face","AI models & datasets hub","https://huggingface.co","United States","Large (200–1000)","Hugging Face hosts AI models, datasets, and tools for the ML community.","Head of Partnerships","Must monetize community reach via enterprise and cloud partnerships.","Outbound to cloud providers and enterprises building private model hubs.","partners@huggingface.co"
"AI / Tech Startup","Runway","AI video & image editing","https://runwayml.com","United States","Medium (50–200)","Runway provides AI tools for video and image generation and editing.","Head of Sales","Needs to tap creative studios, agencies, and enterprises experimenting with AI video.","Outbound to creative directors and production leads with tailored demo projects.","sales@runwayml.com"
"AI / Tech Startup","Synthesia","AI video avatars","https://www.synthesia.io","United Kingdom","Medium (50–200)","Synthesia offers AI avatar and video generation for training and marketing content.","Head of Customer Success","Must expand usage within existing logos and land new enterprise teams.","Outbound into HR, L&D, and marketing teams within current and lookalike accounts.","cs@synthesia.io"
"AI / Tech Startup","ElevenLabs","AI voice generation","https://elevenlabs.io","United States","Medium (50–200)","ElevenLabs builds AI voice cloning and text-to-speech tools.","Head of Partnerships","Needs partnerships with media, gaming, and learning companies for large usage deals.","Outreach to studios and platforms with samples tailored to their IP and languages.","partners@elevenlabs.io"
"AI / Tech Startup","Harvey","AI for law firms","https://www.harvey.ai","United States","Small (10–50)","Harvey builds AI assistants for law firms and legal teams.","Head of Sales","Very specific ICP (law); outbound into firms and in‑house legal is mandatory.","Outbound to managing partners and GCs focused on research and drafting efficiency.","sales@harvey.ai"
"AI / Tech Startup","Glean","Enterprise AI search","https://www.glean.com","United States","Medium (50–200)","Glean offers enterprise AI search and knowledge discovery across company tools.","VP Sales","Complex, multi-stakeholder deals; outbound must align IT, security, and business users.","Account-based outbound mapping CIO, IT, and line-of-business sponsors for pilot projects.","vp.sales@glean.com"
"AI / Tech Startup","Databricks","Data & AI platform","https://www.databricks.com","United States","Large (200–1000)","Databricks unifies data engineering, analytics, and AI on a lakehouse platform.","Regional VP","Needs to win large multi‑cloud data platforms; outbound targets big data estates.","Outbound to CDOs and data leaders with tailored modernization and AI roadmaps.","regionalvp@databricks.com"
"AI / Tech Startup","Vercel","Frontend cloud & hosting","https://vercel.com","United States","Large (200–1000)","Vercel provides a frontend cloud platform for deploying web apps and sites.","Head of Developer Experience","Needs more enterprise and agency accounts building on its platform.","Outbound to digital agencies and enterprise web teams with performance and DX case studies.","dx@vercel.com"
"AI / Tech Startup","Cohere","Enterprise AI platform","https://cohere.com","Canada","Medium (50–200)","Cohere provides enterprise AI models and tooling focused on search, summarize, and chat.","VP Sales","Competes for enterprise AI platform deals; needs outreach into data and IT leaders.","Account-based outbound to enterprises with strong data teams but no standardized LLM platform.","sales@cohere.com"

"IT Consulting / Software","N-iX","IT consulting & software dev","https://www.n-ix.com","Ukraine","Large (200–1000)","N-iX delivers software development and IT consulting services for enterprises and tech companies.","VP Sales","Relies on large transformation deals; outbound into target industries is key.","Account-based outbound highlighting case studies by vertical (fintech, retail, manufacturing).","sales@n-ix.com"
"IT Consulting / Software","ELEKS","Custom software & consulting","https://eleks.com","Ukraine","Large (200–1000)","ELEKS provides custom software development and consulting for global clients.","Head of Business Development","Project-based work leads to revenue volatility; needs a strong pipeline of new engagements.","Outbound to CIOs and product leaders with tailored transformation proposals.","bd@eleks.com"
"IT Consulting / Software","Avenga","Digital transformation partner","https://www.avenga.com","Germany","Large (200–1000)","Avenga offers digital transformation, consulting, and software development services.","Country Manager","Must grow presence in chosen regions and industries via targeted outreach.","Territory-based outbound into pharma, finance, and automotive firms with relevant case studies.","manager@avenga.com"
"IT Consulting / Software","Sigma Software","Software dev & IT services","https://sigma.software","Sweden","Large (200–1000)","Sigma Software provides software engineering and IT consulting for enterprises and startups.","Head of Sales","Needs to keep engineers utilized across multiple long‑term projects.","Outbound to tech and business leaders needing nearshore development capacity.","sales@sigma.software"
"IT Consulting / Software","Skelia","IT staffing & consulting","https://skelia.com","Luxembourg","Medium (50–200)","Skelia offers IT staffing, software development, and consulting services.","Regional Director","Competition from larger vendors; must win by being responsive and specialized.","Outbound to mid‑market companies seeking dedicated teams rather than large vendors.","director@skelia.com"
"IT Consulting / Software","Grid Dynamics","Digital engineering & cloud","https://www.griddynamics.com","United States","Large (200–1000)","Grid Dynamics delivers digital engineering, data, and cloud solutions for enterprises.","VP Sales","Targets large enterprises; outbound is needed to find initiatives aligned with their capabilities.","Account-based outbound to CDOs and CIOs with modernization and AI project ideas.","sales@griddynamics.com"
"IT Consulting / Software","CHI Software","Custom software & AI","https://chisw.com","Ukraine","Medium (50–200)","CHI Software builds custom software and AI solutions for global clients.","Head of Sales","Must stand out in a crowded vendor landscape and keep AI team fully utilized.","Outbound to product leaders seeking AI POCs and MVPs with competitive pricing.","sales@chisw.com"
"IT Consulting / Software","MentorMate","Digital product development","https://mentormate.com","United States","Large (200–1000)","MentorMate provides digital product development and consulting services.","VP Client Strategy","Needs long‑term product partnerships, not one‑off projects; outbound can target CEOs and CPOs.","Outbound focused on multi‑year product roadmaps and cross‑platform delivery.","vp.strategy@mentormate.com"
"IT Consulting / Software","Relevant Software","Software consulting & dev","https://relevant.software","Ukraine","Medium (50–200)","Relevant Software offers software consulting, AI, and cloud solutions.","Head of Sales","Competes globally for remote development engagements; must target the right niches.","Outbound to product companies needing long‑term engineering extensions and AI expertise.","sales@relevant.software"
"IT Consulting / Software","Thoughtworks","Global technology consultancy","https://www.thoughtworks.com","United States","Large (200–1000)","Thoughtworks provides software consulting, agile delivery, and digital transformation services.","Client Principal","Large enterprise deals require multi‑stakeholder engagement and long cycles.","Account-based outbound to innovation leaders and CIOs with vision-led transformation narratives.","principal@thoughtworks.com"
"IT Consulting / Software","Slalom","Strategy & technology consulting","https://www.slalom.com","United States","Large (200–1000)","Slalom delivers strategy, cloud, and product consulting via local offices.","Market Lead","Growth depends on winning local enterprise accounts against Big Four and globals.","Local outbound to business unit leaders and CIOs with city‑specific references.","marketlead@slalom.com"
"IT Consulting / Software","SoftServe","IT consulting & engineering","https://www.softserveinc.com","Ukraine","Large (200–1000)","SoftServe provides consulting and software engineering services across industries.","VP Sales","Needs to fill benches and grow strategic accounts across regions.","Outbound to large enterprises with proposals around data, cloud, and AI modernization.","vp.sales@softserveinc.com"
"IT Consulting / Software","EPAM Systems","Global engineering & consulting","https://www.epam.com","United States","Large (200–1000)","EPAM Systems offers engineering, consulting, and digital platform services globally.","Account Director","Complex global engagements require relationship‑based selling and proactive outreach.","Account-based outbound expanding into new divisions of existing global clients.","director@epam.com"
"IT Consulting / Software","Globant","Digital-native consulting","https://www.globant.com","Argentina","Large (200–1000)","Globant is a digital-native consulting company delivering software and experience design.","Head of Business Development","Must continue winning innovation and experience-led programs worldwide.","Outbound to CMOs and CDOs focused on digital experiences and AI augmentations.","bd@globant.com"
"IT Consulting / Software","MobiDev","Custom software development","https://mobidev.biz","Ukraine","Medium (50–200)","MobiDev builds custom software solutions for startups and enterprises.","Sales Manager","As a mid‑sized vendor, needs consistent pipeline of app and platform builds.","Outbound to founders and product owners planning new mobile or SaaS products.","sales@mobidev.biz"
"IT Consulting / Software","Endava","IT services & consulting","https://www.endava.com","United Kingdom","Large (200–1000)","Endava provides IT services and consulting focused on payments, TMT, and other verticals.","Head of Sales","Competes with large global vendors; outbound must highlight vertical expertise.","Account-based outbound into payments and media firms needing modernization and agile delivery.","sales@endava.com"
